Part/Designator,Mfr,Mfr. Part#,Quantity,comment
C1,YAGEO,CC0603KRX5R5BB105,1,0603 1uf
C2,YAGEO,CC0402MRX5R5BB106,1,0603 10uf
"C3,C4,C5,C6",YAGEO,CC0603KRX7R9BB103,4,0603 10nF
"R1,R2",YAGEO,RC0603JR-0722RL,2,0603 22r
R3,YAGEO,RC0603JR-0710KL,1,0603 10k
U1,Atmel,ATMEGA16U2-MU,1,MCU
J1,suntech,ZX62D-B-5P8,1,usb conn
XT1,Murata,CSTCE16M0V53-R0,1,resonator 16MHz
S8,C&K,KSC421J 70SH LFS,1,Reset switch
"L1,L2,L3,L4,L5,L6,L7,L8",Shenzhen Normand,SK9822,8,"LED, DO NOT USE APA101, MUST BE SK9822"
"E1, E2",Bourns,PEC16-4020F-N0024,2,Encoder
